[16:24:36.089]Initing... C:\Program Files (x86)\Steam\steamapps\common\BATTLETECH\Mods\CustomUnitDecorator version: 1.0.0.3
[16:24:53.796]FinishedLoading
[16:24:53.796]DropCostsEnhanced Detecting
[16:25:50.099]MechDef.GatherDependencies mechdef_Wolfhound_WLF-1B
[16:25:50.100]MechDef.GatherDependencies mechdef_wolverine_WVR-6D
[16:25:50.101]MechDef.GatherDependencies mechdef_wolverine_WVR-6M
[16:25:50.103]MechDef.GatherDependencies mechdef_Wyvern_WVE-6N
[16:25:50.104]MechDef.GatherDependencies mechdef_zeus_ZEU-6A
[16:25:50.106]MechDef.GatherDependencies mechdef_zeus_ZEU-9S
[16:25:50.109]MechDef.GatherDependencies mechdef_kintaro_KTO-20
[16:25:50.110]MechDef.GatherDependencies mechdef_GN-000-FA-P
[16:25:50.111]MechDef.GatherDependencies mechdef_GN-000-FA
[16:25:50.112]MechDef.GatherDependencies mechdef_GN-000
[16:25:50.113]MechDef.GatherDependencies mechdef_GN-002
[16:25:50.114]MechDef.GatherDependencies mechdef_GN-005
[16:25:50.116]MechDef.GatherDependencies mechdef_albion_ALB-R
[16:25:50.117]MechDef.GatherDependencies mechdef_falcon_FLC-G
[16:25:50.119]MechDef.GatherDependencies mechdef_falcon_FLC-G2
[16:25:50.121]MechDef.GatherDependencies mechdef_ostscout_OTT-S0
[16:25:50.123]MechDef.GatherDependencies mechdef_ostscout_OTT-S1
[16:25:50.124]MechDef.GatherDependencies mechdef_ostscout_OTT-S2
[16:25:50.126]MechDef.GatherDependencies mechdef_phoenixhawk_PXH-3DGN
[16:25:50.127]MechDef.GatherDependencies mechdef_MS_Desultor
[16:25:50.128]MechDef.GatherDependencies mechdef_MS_GM
[16:25:50.128]MechDef.GatherDependencies mechdef_deploy_director
[16:25:57.012]MechDef.GatherDependencies chassisdef_atlas_AS7-D-HT
[16:25:57.014]MechDef.GatherDependencies chassisdef_atlas_AS7-D
[16:25:57.015]MechDef.GatherDependencies chassisdef_awesome_AWS-8Q
[16:25:57.017]MechDef.GatherDependencies chassisdef_awesome_AWS-8T
[16:25:57.018]MechDef.GatherDependencies chassisdef_banshee_BNC-3E
[16:25:57.019]MechDef.GatherDependencies chassisdef_banshee_BNC-3M
[16:25:57.021]MechDef.GatherDependencies chassisdef_battlemaster_BLR-1G
[16:25:57.023]MechDef.GatherDependencies chassisdef_blackjack_BJ-1
[16:25:57.024]MechDef.GatherDependencies chassisdef_blackknight_BL-6-KNT
[16:25:57.028]MechDef.GatherDependencies chassisdef_blackknight_BL-6b-KNT
[16:25:57.030]MechDef.GatherDependencies chassisdef_cataphract_CTF-1X
[16:25:57.031]MechDef.GatherDependencies chassisdef_catapult_CPLT-C1
[16:25:57.032]MechDef.GatherDependencies chassisdef_catapult_CPLT-K2
[16:25:57.034]MechDef.GatherDependencies chassisdef_centurion_CN9-A
[16:25:57.035]MechDef.GatherDependencies chassisdef_centurion_CN9-AL
[16:25:57.037]MechDef.GatherDependencies chassisdef_centurion_TARGETDUMMY
[16:25:57.038]MechDef.GatherDependencies chassisdef_cicada_CDA-2A
[16:25:57.039]MechDef.GatherDependencies chassisdef_cicada_CDA-3C
[16:25:57.041]MechDef.GatherDependencies chassisdef_commando_COM-1B
[16:25:57.043]MechDef.GatherDependencies chassisdef_commando_COM-2D
[16:25:57.045]MechDef.GatherDependencies chassisdef_dragon_DRG-1N
[16:25:57.046]MechDef.GatherDependencies chassisdef_enforcer_ENF-4R
[16:25:57.047]MechDef.GatherDependencies chassisdef_firestarter_FS9-H
[16:25:57.049]MechDef.GatherDependencies chassisdef_grasshopper_GHR-5H
[16:25:57.050]MechDef.GatherDependencies chassisdef_griffin_GRF-1N
[16:25:57.051]MechDef.GatherDependencies chassisdef_griffin_GRF-1S
[16:25:57.052]MechDef.GatherDependencies chassisdef_griffin_GRF-4N
[16:25:57.054]MechDef.GatherDependencies chassisdef_highlander_HGN-732b
[16:25:57.056]MechDef.GatherDependencies chassisdef_highlander_HGN-733
[16:25:57.059]MechDef.GatherDependencies chassisdef_highlander_HGN-733P
[16:25:57.061]MechDef.GatherDependencies chassisdef_hunchback_HBK-4G
[16:25:57.062]MechDef.GatherDependencies chassisdef_hunchback_HBK-4P
[16:25:57.063]MechDef.GatherDependencies chassisdef_jagermech_JM6-A
[16:25:57.065]MechDef.GatherDependencies chassisdef_jagermech_JM6-S
[16:25:57.066]MechDef.GatherDependencies chassisdef_jenner_JR7-D
[16:25:57.068]MechDef.GatherDependencies chassisdef_kingcrab_KGC-0000
[16:25:57.068]MechDef.GatherDependencies chassisdef_kintaro_KTO-18
[16:25:57.070]MechDef.GatherDependencies chassisdef_locust_LCT-1M
[16:25:57.071]MechDef.GatherDependencies chassisdef_locust_LCT-1S
[16:25:57.074]MechDef.GatherDependencies chassisdef_locust_LCT-1V
[16:25:57.076]MechDef.GatherDependencies chassisdef_orion_ON1-K
[16:25:57.077]MechDef.GatherDependencies chassisdef_orion_ON1-V
[16:25:57.078]MechDef.GatherDependencies chassisdef_panther_PNT-9R
[16:25:57.080]MechDef.GatherDependencies chassisdef_panther_TARGETDUMMY
[16:25:57.081]MechDef.GatherDependencies chassisdef_quickdraw_QKD-4G
[16:25:57.082]MechDef.GatherDependencies chassisdef_quickdraw_QKD-5A
[16:25:57.083]MechDef.GatherDependencies chassisdef_shadowhawk_SHD-2H
[16:25:57.084]MechDef.GatherDependencies chassisdef_stalker_STK-3F
[16:25:57.085]MechDef.GatherDependencies chassisdef_thunderbolt_TDR-5S
[16:25:57.088]MechDef.GatherDependencies chassisdef_thunderbolt_TDR-5SE
[16:25:57.090]MechDef.GatherDependencies chassisdef_thunderbolt_TDR-5SS
[16:25:57.091]MechDef.GatherDependencies chassisdef_trebuchet_TBT-5N
[16:25:57.093]MechDef.GatherDependencies chassisdef_urbanmech_UM-R60
[16:25:57.094]MechDef.GatherDependencies chassisdef_victor_VTR-9B
[16:25:57.095]MechDef.GatherDependencies chassisdef_victor_VTR-9S
[16:25:57.096]MechDef.GatherDependencies chassisdef_vindicator_VND-1R
[16:25:57.098]MechDef.GatherDependencies chassisdef_wolverine_WVR-6K
[16:25:57.099]MechDef.GatherDependencies chassisdef_wolverine_WVR-6R
[16:25:57.100]MechDef.GatherDependencies chassisdef_zeus_ZEU-6S
[16:25:57.104]MechDef.GatherDependencies chassisdef_banshee_BNC-3S
[16:25:57.105]MechDef.GatherDependencies chassisdef_blackjack_BJ-1DB
[16:25:57.106]MechDef.GatherDependencies chassisdef_catapult_CPLT-C4
[16:25:57.108]MechDef.GatherDependencies chassisdef_urbanmech_UM-R60L
[16:25:57.109]MechDef.GatherDependencies chassisdef_urbanmech_UM-R90
[16:25:57.110]MechDef.GatherDependencies chassisdef_vindicator_VND-1AA
[16:25:57.112]MechDef.GatherDependencies chassisdef_marauder_MAD-3R
[16:25:57.114]MechDef.GatherDependencies chassisdef_warhammer_WHM-6D
[16:25:57.116]MechDef.GatherDependencies chassisdef_warhammer_WHM-6R
[16:25:57.117]MechDef.GatherDependencies chassisdef_warhammer_WHM-BW
[16:25:57.120]MechDef.GatherDependencies chassisdef_locust_LCT-1E
[16:25:57.121]MechDef.GatherDependencies chassisdef_spider_SDR-5K
[16:25:57.123]MechDef.GatherDependencies chassisdef_atlas_AS7-GG
[16:25:57.124]MechDef.GatherDependencies chassisdef_marauder_MAD-BH
[16:25:57.125]MechDef.GatherDependencies chassisdef_marauder_MAD-CM
[16:25:57.127]MechDef.GatherDependencies chassisdef_battlemaster_BLR-1GB
[16:25:57.129]MechDef.GatherDependencies chassisdef_battlemaster_BLR-1S
[16:25:57.131]MechDef.GatherDependencies chassisdef_granddragon_DRG-1G
[16:25:57.132]MechDef.GatherDependencies chassisdef_marauder_MAD-2R
[16:25:57.134]MechDef.GatherDependencies chassisdef_marauder_MAD-3D
[16:25:57.137]MechDef.GatherDependencies chassisdef_trebuchet_TBT-7K
[16:25:57.139]MechDef.GatherDependencies chassisdef_warhammer_WHM-7A
[16:25:57.140]MechDef.GatherDependencies chassisdef_zeus_ZEU-5T
[16:25:57.141]MechDef.GatherDependencies chassisdef_zeus_ZEU-6T
[16:25:57.143]MechDef.GatherDependencies chassisdef_crab__fp_gladiator_BSC-27
[16:25:57.156]MechDef.GatherDependencies chassisdef_crab_CRB-27
[16:25:57.158]MechDef.GatherDependencies chassisdef_crab_CRB-27b
[16:25:57.160]MechDef.GatherDependencies chassisdef_cyclops_CP-10-HQ
[16:25:57.161]MechDef.GatherDependencies chassisdef_cyclops_CP-10-Q
[16:25:57.163]MechDef.GatherDependencies chassisdef_cyclops_CP-10-Z
[16:25:57.166]MechDef.GatherDependencies chassisdef_hatchetman_HCT-3F
[16:25:57.168]MechDef.GatherDependencies chassisdef_hatchetman_HCT-3X
[16:25:57.169]MechDef.GatherDependencies chassisdef_cataphract_CTF-0X
[16:25:57.171]MechDef.GatherDependencies chassisdef_javelin_JVN-10A
[16:25:57.172]MechDef.GatherDependencies chassisdef_javelin_JVN-10F
[16:25:57.173]MechDef.GatherDependencies chassisdef_javelin_JVN-10N
[16:25:57.175]MechDef.GatherDependencies chassisdef_raven_RVN-1X
[16:25:57.176]MechDef.GatherDependencies chassisdef_raven_RVN-3X
[16:25:57.177]MechDef.GatherDependencies chassisdef_annihilator_ANH-1A
[16:25:57.179]MechDef.GatherDependencies chassisdef_annihilator_ANH-JH
[16:25:57.182]MechDef.GatherDependencies chassisdef_archer_ARC-2R
[16:25:57.183]MechDef.GatherDependencies chassisdef_archer_ARC-2S
[16:25:57.185]MechDef.GatherDependencies chassisdef_archer_ARC-LS
[16:25:57.186]MechDef.GatherDependencies chassisdef_archer_ARC-XO
[16:25:57.187]MechDef.GatherDependencies chassisdef_assassin_ASN-101
[16:25:57.188]MechDef.GatherDependencies chassisdef_assassin_ASN-21
[16:25:57.190]MechDef.GatherDependencies chassisdef_bullshark_BSK-M3
[16:25:57.191]MechDef.GatherDependencies chassisdef_bullshark_BSK-MAZ
[16:25:57.192]MechDef.GatherDependencies chassisdef_flea_FLE-15
[16:25:57.194]MechDef.GatherDependencies chassisdef_flea_FLE-4
[16:25:57.197]MechDef.GatherDependencies chassisdef_phoenixhawk_PXH-1
[16:25:57.198]MechDef.GatherDependencies chassisdef_phoenixhawk_PXH-1b
[16:25:57.200]MechDef.GatherDependencies chassisdef_phoenixhawk_PXH-1K
[16:25:57.202]MechDef.GatherDependencies chassisdef_rifleman_RFL-3C
[16:25:57.203]MechDef.GatherDependencies chassisdef_rifleman_RFL-3N
[16:25:57.204]MechDef.GatherDependencies chassisdef_rifleman_RFL-4D
[16:25:57.206]MechDef.GatherDependencies chassisdef_rifleman_RFL-RIP
[16:25:57.207]MechDef.GatherDependencies chassisdef_vulcan_VL-2T
[16:25:57.209]MechDef.GatherDependencies chassisdef_vulcan_VL-5T
[16:25:57.215]MechDef.GatherDependencies vehiclechassisdef_APC_Sleipnir
[16:25:57.224]MechDef.GatherDependencies vehiclechassisdef_APC_Vargr
[16:25:57.228]MechDef.GatherDependencies vehiclechassisdef_APC_Wheeled
[16:25:57.231]MechDef.GatherDependencies vehiclechassisdef_BULLDOG
[16:25:57.234]MechDef.GatherDependencies vehiclechassisdef_CARRIER_LRM
[16:25:57.240]MechDef.GatherDependencies vehiclechassisdef_CARRIER_SRM
[16:25:57.244]MechDef.GatherDependencies vehiclechassisdef_DEMOLISHER
[16:25:57.248]MechDef.GatherDependencies vehiclechassisdef_GALLEON
[16:25:57.252]MechDef.GatherDependencies vehiclechassisdef_MANTICORE
[16:25:57.257]MechDef.GatherDependencies vehiclechassisdef_MOBILEHQ
[16:25:57.262]MechDef.GatherDependencies vehiclechassisdef_SCHREK
[16:25:57.265]MechDef.GatherDependencies vehiclechassisdef_SCORPION
[16:25:57.269]MechDef.GatherDependencies vehiclechassisdef_SLDFDroneHeavy
[16:25:57.273]MechDef.GatherDependencies vehiclechassisdef_SLDFDroneMedium
[16:25:57.277]MechDef.GatherDependencies vehiclechassisdef_STRIKER
[16:25:57.280]MechDef.GatherDependencies vehiclechassisdef_SWIFTWIND
[16:25:57.284]MechDef.GatherDependencies vehiclechassisdef_SWIFTWIND_ARMORED
[16:25:57.287]MechDef.GatherDependencies vehiclechassisdef_TARGETVEHICLE1
[16:25:57.291]MechDef.GatherDependencies vehiclechassisdef_TARGETVEHICLE2
[16:25:57.296]MechDef.GatherDependencies vehiclechassisdef_GALLANT
[16:25:57.299]MechDef.GatherDependencies vehiclechassisdef_PACKRAT
[16:25:57.302]MechDef.GatherDependencies vehiclechassisdef_ROTUNDA
[16:25:57.304]MechDef.GatherDependencies vehiclechassisdef_APC_Alsvin
[16:25:57.308]MechDef.GatherDependencies vehiclechassisdef_APC_Arvakr
[16:25:57.311]MechDef.GatherDependencies vehiclechassisdef_CARRIER_Inferno
[16:25:57.314]MechDef.GatherDependencies vehiclechassisdef_DEMOLISHER_LBX
[16:25:57.316]MechDef.GatherDependencies vehiclechassisdef_GALLEON_TAG
[16:25:57.320]MechDef.GatherDependencies vehiclechassisdef_SCHREK_SPPC
[16:25:57.323]MechDef.GatherDependencies vehiclechassisdef_SCORPION_MKII
[16:25:57.325]MechDef.GatherDependencies vehiclechassisdef_STRIKER_Narc
[16:25:57.329]MechDef.GatherDependencies chassisdef_atlas_AS7-A
[16:25:57.330]MechDef.GatherDependencies chassisdef_atlas_AS7-D-H
[16:25:57.332]MechDef.GatherDependencies chassisdef_atlas_AS7-D-RS
[16:25:57.333]MechDef.GatherDependencies chassisdef_atlas_AS7-K
[16:25:57.334]MechDef.GatherDependencies chassisdef_awesome_AWS-8R
[16:25:57.336]MechDef.GatherDependencies chassisdef_awesome_AWS-8V
[16:25:57.337]MechDef.GatherDependencies chassisdef_awesome_AWS-9M
[16:25:57.338]MechDef.GatherDependencies chassisdef_banshee_BNC-3Q
[16:25:57.340]MechDef.GatherDependencies chassisdef_battlemaster_BLR-1D
[16:25:57.342]MechDef.GatherDependencies chassisdef_battlemaster_BLR-2C
[16:25:57.345]MechDef.GatherDependencies chassisdef_blackjack_BJ-1DC
[16:25:57.346]MechDef.GatherDependencies chassisdef_blackjack_BJ-3
[16:25:57.348]MechDef.GatherDependencies chassisdef_blackjack_BJ-3X
[16:25:57.349]MechDef.GatherDependencies chassisdef_blackknight_BL-7-KNT
[16:25:57.350]MechDef.GatherDependencies chassisdef_blackknight_BL-7-KNT
[16:25:57.352]MechDef.GatherDependencies chassisdef_bombardier_BMB-10D
[16:25:57.353]MechDef.GatherDependencies chassisdef_bombardier_BMB-12D
[16:25:57.354]MechDef.GatherDependencies chassisdef_cataphract_CTF-4X
[16:25:57.356]MechDef.GatherDependencies chassisdef_catapult_CPLT-A1
[16:25:57.358]MechDef.GatherDependencies chassisdef_catapult_CPLT-K3
[16:25:57.360]MechDef.GatherDependencies chassisdef_centurion_CN9-AH
[16:25:57.361]MechDef.GatherDependencies chassisdef_Cestus_CTS-6Y
[16:25:57.364]MechDef.GatherDependencies chassisdef_Chameleon_TRC-4B
[16:25:57.364]MechDef.GatherDependencies chassisdef_champion_CHP-1N
[16:25:57.365]MechDef.GatherDependencies chassisdef_champion_CHP-2N
[16:25:57.380]MechDef.GatherDependencies chassisdef_Clint_CLNT-1-2R
[16:25:57.381]MechDef.GatherDependencies chassisdef_Clint_CLNT-2-3T-Denton
[16:25:57.383]MechDef.GatherDependencies chassisdef_Clint_CLNT-2-3T
[16:25:57.384]MechDef.GatherDependencies chassisdef_Clint_CLNT-2-4T
[16:25:57.385]MechDef.GatherDependencies chassisdef_commando_COM-1C
[16:25:57.388]MechDef.GatherDependencies chassisdef_commando_COM-1D
[16:25:57.389]MechDef.GatherDependencies chassisdef_commando_COM-3A
[16:25:57.391]MechDef.GatherDependencies chassisdef_crab_CRB-20
[16:25:57.392]MechDef.GatherDependencies chassisdef_Crockett_CRK-5003-0
[16:25:57.393]MechDef.GatherDependencies chassisdef_Crockett_CRK-5003-1
[16:25:57.395]MechDef.GatherDependencies chassisdef_Crockett_CRK-5003-2
[16:25:57.396]MechDef.GatherDependencies chassisdef_cronus_CNS-3M
[16:25:57.397]MechDef.GatherDependencies chassisdef_crusader_CRD-3D
[16:25:57.399]MechDef.GatherDependencies chassisdef_crusader_CRD-3K
[16:25:57.400]MechDef.GatherDependencies chassisdef_crusader_CRD-3L
[16:25:57.403]MechDef.GatherDependencies chassisdef_crusader_CRD-3R
[16:25:57.404]MechDef.GatherDependencies chassisdef_cyclops_CP-11-A-DC
[16:25:57.405]MechDef.GatherDependencies chassisdef_cyclops_CP-11-A
[16:25:57.406]MechDef.GatherDependencies chassisdef_Daboku_DCMS-MX90-D
[16:25:57.408]MechDef.GatherDependencies chassisdef_dervish_DV-6M
[16:25:57.409]MechDef.GatherDependencies chassisdef_dervish_DV-7D
[16:25:57.410]MechDef.GatherDependencies chassisdef_devastator_DVS-1D
[16:25:57.411]MechDef.GatherDependencies chassisdef_devastator_DVS-2
[16:25:57.413]MechDef.GatherDependencies chassisdef_dragon_DRG-1C
[16:25:57.414]MechDef.GatherDependencies chassisdef_dragon_DRG-5N
[16:25:57.417]MechDef.GatherDependencies chassisdef_emperor_EMP-6A
[16:25:57.419]MechDef.GatherDependencies chassisdef_exterminator_EXT-4A
[16:25:57.421]MechDef.GatherDependencies chassisdef_exterminator_EXT-4D
[16:25:57.422]MechDef.GatherDependencies chassisdef_falcon_FLC-4NF
[16:25:57.423]MechDef.GatherDependencies chassisdef_firefly_FFL-4C
[16:25:57.425]MechDef.GatherDependencies chassisdef_firestarter_FS9-M
[16:25:57.434]MechDef.GatherDependencies chassisdef_flashman_FLS-7K
[16:25:57.435]MechDef.GatherDependencies chassisdef_flashman_FLS-78K
[16:25:57.436]MechDef.GatherDependencies chassisdef_flea_FLE-14
[16:25:57.438]MechDef.GatherDependencies chassisdef_granddragon_DRG-5K
[16:25:57.440]MechDef.GatherDependencies chassisdef_grasshopper_GHR-5N
[16:25:57.442]MechDef.GatherDependencies chassisdef_guillotine_GLT-3N
[16:25:57.443]MechDef.GatherDependencies chassisdef_guillotine_GLT-4L
[16:25:57.444]MechDef.GatherDependencies chassisdef_guillotine_GLT-4P
[16:25:57.446]MechDef.GatherDependencies chassisdef_hatamoto-chi_HTM-26T
[16:25:57.462]MechDef.GatherDependencies chassisdef_hatamoto-chi_HTM-27T
[16:25:57.464]MechDef.GatherDependencies chassisdef_hatamoto-hi_HTM-27U
[16:25:57.466]MechDef.GatherDependencies chassisdef_hatamoto-kaze_HTM-27V
[16:25:57.467]MechDef.GatherDependencies chassisdef_hatamoto-ku_HTM-27W
[16:25:57.468]MechDef.GatherDependencies chassisdef_HermesII_HER-2M
[16:25:57.471]MechDef.GatherDependencies chassisdef_HermesII_HER-2S
[16:25:57.472]MechDef.GatherDependencies chassisdef_HermesII_HER-4K
[16:25:57.474]MechDef.GatherDependencies chassisdef_Hermes_HER-1A
[16:25:57.475]MechDef.GatherDependencies chassisdef_Hermes_HER-1B
[16:25:57.476]MechDef.GatherDependencies chassisdef_Hermes_HER-1S
[16:25:57.478]MechDef.GatherDependencies chassisdef_Hermes_HER-3S
[16:25:57.479]MechDef.GatherDependencies chassisdef_highlander_HGN-732
[16:25:57.481]MechDef.GatherDependencies chassisdef_highlander_HGN-733C
[16:25:57.482]MechDef.GatherDependencies chassisdef_Hornet_HNT-151
[16:25:57.483]MechDef.GatherDependencies chassisdef_Hornet_HNT-152
[16:25:57.486]MechDef.GatherDependencies chassisdef_hunchback_HBK-4G-Gauss
[16:25:57.487]MechDef.GatherDependencies chassisdef_hunchback_HBK-4H
[16:25:57.488]MechDef.GatherDependencies chassisdef_hunchback_HBK-4J
[16:25:57.489]MechDef.GatherDependencies chassisdef_hunchback_HBK-4N
[16:25:57.491]MechDef.GatherDependencies chassisdef_hunchback_HBK-4SP
[16:25:57.492]MechDef.GatherDependencies chassisdef_hunchback_HBK-5M
[16:25:57.493]MechDef.GatherDependencies chassisdef_hussar_HSR-200-D
[16:25:57.495]MechDef.GatherDependencies chassisdef_hussar_HSR-300-D
[16:25:57.496]MechDef.GatherDependencies chassisdef_hussar_HSR-350-D
[16:25:57.497]MechDef.GatherDependencies chassisdef_jenner_JR7-F-Smith
[16:25:57.500]MechDef.GatherDependencies chassisdef_jenner_JR7-F
[16:25:57.501]MechDef.GatherDependencies chassisdef_jenner_JR7-K
[16:25:57.502]MechDef.GatherDependencies chassisdef_kingcrab_KGC-000
[16:25:57.503]MechDef.GatherDependencies chassisdef_kintaro_KTO-19
[16:25:57.505]MechDef.GatherDependencies chassisdef_lancelot_LNC25-01
[16:25:57.506]MechDef.GatherDependencies chassisdef_lancelot_LNC25-02
[16:25:57.507]MechDef.GatherDependencies chassisdef_lancelot_LNC25-03
[16:25:57.509]MechDef.GatherDependencies chassisdef_lancelot_LNC25-05
[16:25:57.510]MechDef.GatherDependencies chassisdef_locust_LCT-1L
[16:25:57.512]MechDef.GatherDependencies chassisdef_locust_LCT-3V
[16:25:57.514]MechDef.GatherDependencies chassisdef_longbow_LGB-0W
[16:25:57.516]MechDef.GatherDependencies chassisdef_longbow_LGB-0W2
[16:25:57.517]MechDef.GatherDependencies chassisdef_longbow_LGB-7Q
[16:25:57.518]MechDef.GatherDependencies chassisdef_longbow_LGB-8C
[16:25:57.520]MechDef.GatherDependencies chassisdef_marauder_MAD-1R
[16:25:57.521]MechDef.GatherDependencies chassisdef_marauder_MAD-3L
[16:25:57.522]MechDef.GatherDependencies chassisdef_marauder_MAD-3M
[16:25:57.524]MechDef.GatherDependencies chassisdef_marauder_MAD-4X
[16:25:57.525]MechDef.GatherDependencies chassisdef_marauder_MAD-5D
[16:25:57.527]MechDef.GatherDependencies chassisdef_mauler_MAL-1R
[16:25:57.530]MechDef.GatherDependencies chassisdef_mercury_MCY-99
[16:25:57.531]MechDef.GatherDependencies chassisdef_Mongoose_MON-66
[16:25:57.533]MechDef.GatherDependencies chassisdef_Mongoose_MON-67
[16:25:57.534]MechDef.GatherDependencies chassisdef_Mongoose_MON-67
[16:25:57.536]MechDef.GatherDependencies chassisdef_nightstar_NSR-9J
[16:25:57.537]MechDef.GatherDependencies chassisdef_orion_ON1-VA-DC
[16:25:57.538]MechDef.GatherDependencies chassisdef_orion_ON1-VA
[16:25:57.539]MechDef.GatherDependencies chassisdef_Ostroc_OSR-2C
[16:25:57.541]MechDef.GatherDependencies chassisdef_Ostroc_OSR-2L
[16:25:57.542]MechDef.GatherDependencies chassisdef_Ostroc_OSR-2M
[16:25:57.544]MechDef.GatherDependencies chassisdef_Ostroc_OSR-3C
[16:25:57.546]MechDef.GatherDependencies chassisdef_Ostroc_OSR-9C
[16:25:57.547]MechDef.GatherDependencies chassisdef_Ostscout_OTT-7J
[16:25:57.548]MechDef.GatherDependencies chassisdef_Ostscout_OTTJ7
[16:25:57.549]MechDef.GatherDependencies chassisdef_Ostsol_OTL-4D
[16:25:57.550]MechDef.GatherDependencies chassisdef_Ostsol_OTL-4F
[16:25:57.552]MechDef.GatherDependencies chassisdef_panther_PNT-9RALAG
[16:25:57.553]MechDef.GatherDependencies chassisdef_phoenixhawk_PXH-1D
[16:25:57.554]MechDef.GatherDependencies chassisdef_phoenixhawk_PXH-3D
[16:25:57.555]MechDef.GatherDependencies chassisdef_phoenixhawk_PXH-3M
[16:25:57.558]MechDef.GatherDependencies chassisdef_phoenixhawk_PXH-3S
[16:25:57.559]MechDef.GatherDependencies chassisdef_pillager_PLG-3Z
[16:25:57.561]MechDef.GatherDependencies chassisdef_quickdraw_QKD-4H
[16:25:57.562]MechDef.GatherDependencies chassisdef_raven_RVN-2X
[16:25:57.563]MechDef.GatherDependencies chassisdef_raven_RVN-3L
[16:25:57.564]MechDef.GatherDependencies chassisdef_Sentinel_STN-3K
[16:25:57.566]MechDef.GatherDependencies chassisdef_Sentinel_STN-3KA
[16:25:57.567]MechDef.GatherDependencies chassisdef_Sentinel_STN-3KB
[16:25:57.568]MechDef.GatherDependencies chassisdef_Sentinel_STN-3L
[16:25:57.569]MechDef.GatherDependencies chassisdef_Sentinel_STN-3M
[16:25:57.571]MechDef.GatherDependencies chassisdef_shadowhawk_SHD-5M
[16:25:57.572]MechDef.GatherDependencies chassisdef_shootist_ST-8A
[16:25:57.574]MechDef.GatherDependencies chassisdef_spider_SDR-5D
[16:25:57.575]MechDef.GatherDependencies chassisdef_stalker_STK-3H
[16:25:57.576]MechDef.GatherDependencies chassisdef_stalker_STK-4N
[16:25:57.577]MechDef.GatherDependencies chassisdef_Stinger_STG-3G
[16:25:57.578]MechDef.GatherDependencies chassisdef_Stinger_STG-3R
[16:25:57.580]MechDef.GatherDependencies chassisdef_thorn_THE-N
[16:25:57.581]MechDef.GatherDependencies chassisdef_thorn_THE-S
[16:25:57.582]MechDef.GatherDependencies chassisdef_thorn_THE-T
[16:25:57.585]MechDef.GatherDependencies chassisdef_thug_THG-11E
[16:25:57.586]MechDef.GatherDependencies chassisdef_thunderbolt_TDR-5D
[16:25:57.587]MechDef.GatherDependencies chassisdef_thunderhawk_DK-7X
[16:25:57.589]MechDef.GatherDependencies chassisdef_titan_TI-1A
[16:25:57.590]MechDef.GatherDependencies chassisdef_trebuchet_TBT-5J
[16:25:57.591]MechDef.GatherDependencies chassisdef_trebuchet_TBT-5S
[16:25:57.603]MechDef.GatherDependencies chassisdef_trebuchet_TBT-7M
[16:25:57.604]MechDef.GatherDependencies chassisdef_valkyrie_VLK-QA
[16:25:57.606]MechDef.GatherDependencies chassisdef_valkyrie_VLK-QF
[16:25:57.607]MechDef.GatherDependencies chassisdef_victor_VTR-9A
[16:25:57.610]MechDef.GatherDependencies chassisdef_victor_VTR-9A1
[16:25:57.611]MechDef.GatherDependencies chassisdef_vindicator_VND-1X
[16:25:57.613]MechDef.GatherDependencies chassisdef_warhammer_WHM-6K
[16:25:57.616]MechDef.GatherDependencies chassisdef_warhammer_WHM-6L
[16:25:57.617]MechDef.GatherDependencies chassisdef_warhammer_WHM-7M
[16:25:57.618]MechDef.GatherDependencies chassisdef_Whitworth_WTH-1
[16:25:57.620]MechDef.GatherDependencies chassisdef_Whitworth_WTH-1S
[16:25:57.621]MechDef.GatherDependencies chassisdef_Wolfhound_WLF-1
[16:25:57.623]MechDef.GatherDependencies chassisdef_Wolfhound_WLF-1A
[16:25:57.624]MechDef.GatherDependencies chassisdef_Wolfhound_WLF-1B
[16:25:57.627]MechDef.GatherDependencies chassisdef_wolverine_WVR-6D
[16:25:57.628]MechDef.GatherDependencies chassisdef_wolverine_WVR-6M
[16:25:57.629]MechDef.GatherDependencies chassisdef_Wyvern_WVE-6N
[16:25:57.631]MechDef.GatherDependencies chassisdef_zeus_ZEU-6A
[16:25:57.632]MechDef.GatherDependencies chassisdef_zeus_ZEU-9S
[16:25:57.633]MechDef.GatherDependencies chassisdef_kintaro_KTO-20
[16:25:57.661]MechDef.GatherDependencies chassisdef_GN-000-FA-P
[16:25:57.663]MechDef.GatherDependencies chassisdef_GN-000-FA
[16:25:57.664]MechDef.GatherDependencies chassisdef_GN-000
[16:25:57.666]MechDef.GatherDependencies chassisdef_GN-002
[16:25:57.668]MechDef.GatherDependencies chassisdef_GN-005
[16:25:57.671]MechDef.GatherDependencies chassisdef_albion_ALB-R
[16:25:57.673]MechDef.GatherDependencies chassisdef_falcon_FLC-G
[16:25:57.674]MechDef.GatherDependencies chassisdef_falcon_FLC-G2
[16:25:57.676]MechDef.GatherDependencies chassisdef_ostscout_OTT-S0
[16:25:57.678]MechDef.GatherDependencies chassisdef_ostscout_OTT-S1
[16:25:57.679]MechDef.GatherDependencies chassisdef_ostscout_OTT-S2
[16:25:57.681]MechDef.GatherDependencies chassisdef_phoenixhawk_PXH-3DGN
